2024-10-30 12:07:06,303 INFO    StreamThr :688020 [internal.py:wandb_internal():85] W&B internal server running at pid: 688020, started at: 2024-10-30 12:07:06.302566
2024-10-30 12:07:06,303 DEBUG   HandlerThread:688020 [handler.py:handle_request():158] handle_request: status
2024-10-30 12:07:06,304 INFO    WriterThread:688020 [datastore.py:open_for_write():87] open: /home/cmdunham/ChemicalDataGeneration/models/wandb/run-20241030_120702-sw3ugii6/run-sw3ugii6.wandb
2024-10-30 12:07:06,305 DEBUG   SenderThread:688020 [sender.py:send():378] send: header
2024-10-30 12:07:06,305 DEBUG   SenderThread:688020 [sender.py:send():378] send: run
2024-10-30 12:07:06,501 INFO    SenderThread:688020 [dir_watcher.py:__init__():211] watching files in: /home/cmdunham/ChemicalDataGeneration/models/wandb/run-20241030_120702-sw3ugii6/files
2024-10-30 12:07:06,501 INFO    SenderThread:688020 [sender.py:_start_run_threads():1123] run started: sw3ugii6 with start time 1730304425.360706
2024-10-30 12:07:06,510 DEBUG   HandlerThread:688020 [handler.py:handle_request():158] handle_request: check_version
2024-10-30 12:07:06,510 DEBUG   SenderThread:688020 [sender.py:send_request():405] send_request: check_version
2024-10-30 12:07:06,570 DEBUG   HandlerThread:688020 [handler.py:handle_request():158] handle_request: run_start
2024-10-30 12:07:06,571 DEBUG   HandlerThread:688020 [system_info.py:__init__():26] System info init
2024-10-30 12:07:06,571 DEBUG   HandlerThread:688020 [system_info.py:__init__():41] System info init done
2024-10-30 12:07:06,571 INFO    HandlerThread:688020 [system_monitor.py:start():194] Starting system monitor
2024-10-30 12:07:06,571 INFO    SystemMonitor:688020 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-30 12:07:06,571 INFO    HandlerThread:688020 [system_monitor.py:probe():214] Collecting system info
2024-10-30 12:07:06,572 INFO    SystemMonitor:688020 [interfaces.py:start():188] Started cpu monitoring
2024-10-30 12:07:06,572 INFO    SystemMonitor:688020 [interfaces.py:start():188] Started disk monitoring
2024-10-30 12:07:06,572 INFO    SystemMonitor:688020 [interfaces.py:start():188] Started gpu monitoring
2024-10-30 12:07:06,573 INFO    SystemMonitor:688020 [interfaces.py:start():188] Started memory monitoring
2024-10-30 12:07:06,573 INFO    SystemMonitor:688020 [interfaces.py:start():188] Started network monitoring
2024-10-30 12:07:06,616 DEBUG   HandlerThread:688020 [system_info.py:probe():150] Probing system
